"id","code","reconcile","type","user_type/id","name","sat_group_id/id","nature","parent_id/id"
"__export__.account_account_194","1212006000","False","Regular","account.data_account_type_asset","DEP ACUM EQUIPO DE COMPUTO","l10n_mx.g171_05","Acreedora","__export__.account_account_83"
"__export__.account_account_32","122","False","View","l10n_mx.account_type_view","INVERSIONES LARGO PLAZO","l10n_mx.g103","Deudora","__export__.account_account_11"
"__export__.account_account_84","1221","False","View","l10n_mx.account_type_view","TITULOS DE VALORES","l10n_mx.g103","Deudora","__export__.account_account_32"
"__export__.account_account_196","1221001000","False","Regular","account.data_account_type_asset","INVERSIONES PERMANENTES","l10n_mx.g103_01","Deudora","__export__.account_account_84"
"__export__.account_account_197","1221003000","False","Regular","account.data_account_type_asset","BONOS TITULOS","l10n_mx.g103_01","Deudora","__export__.account_account_84"
"__export__.account_account_198","1221004000","False","Regular","account.data_account_type_asset","INVERSIONES EN BONOS MN","l10n_mx.g103_01","Deudora","__export__.account_account_84"
"__export__.account_account_33","125","False","View","l10n_mx.account_type_view","IMPUESTOS DIFERIDOS","l10n_mx.g185","Deudora","__export__.account_account_11"
"__export__.account_account_85","1251","False","View","l10n_mx.account_type_view","IMPUESTOS DIFERIDOS ISR ","l10n_mx.g185","Deudora","__export__.account_account_33"
"__export__.account_account_199","1251001000","False","Regular","account.data_account_type_asset","ISR DIFERIDO","l10n_mx.g185_01","Deudora","__export__.account_account_85"
"__export__.account_account_34","127","False","View","l10n_mx.account_type_view","CARGOS DIFERIDOS","l10n_mx.g173","Deudora","__export__.account_account_11"
"__export__.account_account_86","1271","False","View","l10n_mx.account_type_view","CARGOS DIFERIDOS","l10n_mx.g173","Deudora","__export__.account_account_34"
"__export__.account_account_200","1271001000","False","Regular","account.data_account_type_asset","MARCAS Y PATENTES","l10n_mx.g179_01","Deudora","__export__.account_account_86"
"__export__.account_account_35","129","False","View","l10n_mx.account_type_view","OTROS ACTIVOS","l10n_mx.g184","Deudora","__export__.account_account_11"
"__export__.account_account_87","1291","False","View","l10n_mx.account_type_view","OTROS ACTIVOS","l10n_mx.g184","Deudora","__export__.account_account_35"
"__export__.account_account_203","1291001000","False","Regular","account.data_account_type_asset","DEPOSITOS GARANTIA PROVEEDORES","l10n_mx.g184_03","Deudora","__export__.account_account_87"
"__export__.account_account_204","1291002000","False","Regular","account.data_account_type_asset","DEPOSITOS GARANTIA BANCOS","l10n_mx.g184_03","Deudora","__export__.account_account_87"
"__export__.account_account_205","1291004000","False","Regular","account.data_account_type_asset","DEPOSITOS GARANTIA ARRENDAMIENTO OFICINAS","l10n_mx.g184_02","Deudora","__export__.account_account_87"
"__export__.account_account_3","2","False","View","l10n_mx.account_type_view","PASIVO","l10n_mx.g200","Acreedora","__export__.account_account_1"
"__export__.account_account_12","21","False","View","l10n_mx.account_type_view","PASIVO A CORTO PLAZO","l10n_mx.g200_01","Acreedora","__export__.account_account_3"
"__export__.account_account_36","211","False","View","l10n_mx.account_type_view","PASIVOS FINACIEROS A CORTO PLAZO","l10n_mx.g202","Acreedora","__export__.account_account_12"
