"id","code","reconcile","type","user_type/id","name","sat_group_id/id","nature","parent_id/id"
"__export__.account_account_25","92","False","View","l10n_mx.account_type_view","OTROS INGRESOS","l10n_mx.g403","Acreedora","__export__.account_account_9"
"__export__.account_account_64","921","False","View","l10n_mx.account_type_view","OTROS INGRESOS","l10n_mx.g403","Acreedora","__export__.account_account_25"
"__export__.account_account_129","9211","False","View","l10n_mx.account_type_view","INGRESOS FINANCIEROS","l10n_mx.g403","Acreedora","__export__.account_account_64"
"__export__.account_account_394","9211001000","False","Regular","account.data_account_type_income","INTERESES DE BANCOS NACIONALES","l10n_mx.g702_04","Acreedora","__export__.account_account_129"
"__export__.account_account_395","9211002000","False","Regular","account.data_account_type_income","INTERESES DE BANCOS EXTRANJEROS","l10n_mx.g702_05","Acreedora","__export__.account_account_129"
"__export__.account_account_396","9211003000","False","Regular","account.data_account_type_income","OTROS INGRESOS FINANCIEROS","l10n_mx.g702_10","Acreedora","__export__.account_account_129"
"__export__.account_account_130","9212","False","View","l10n_mx.account_type_view","OTROS INGRESOS","l10n_mx.g403","Acreedora","__export__.account_account_64"
"__export__.account_account_397","9212001000","False","Regular","account.data_account_type_income","GANANCIAS EN VENTAS DE ACTIVOS FIJOS","l10n_mx.g704_09","Acreedora","__export__.account_account_130"
"__export__.account_account_398","9212002000","False","Regular","account.data_account_type_income","GANANCIAS EN VENTAS DE INVERSIONES","l10n_mx.g704_23","Acreedora","__export__.account_account_130"
"__export__.account_account_399","9212003000","False","Regular","account.data_account_type_income","GANANCIAS EN DIFERENCIAL CAMBIARIO","l10n_mx.g702_01","Acreedora","__export__.account_account_130"
"__export__.account_account_400","9212004000","False","Regular","account.data_account_type_income","INTERESES VARIOS","l10n_mx.g401_32","Acreedora","__export__.account_account_130"
"__export__.account_account_401","9212005000","False","Regular","account.data_account_type_income","OTROS INGRESOS","l10n_mx.g403_01","Acreedora","__export__.account_account_130"
